"Date","Confirmed","Deaths","Recovered","Active","In.ITU","Tests","Mortality_rate","Recovery_rate","Confirmed_change","Growth_rate","Growth_rate_change","Growth_rate_accel","Confirmed_per_test"
2020-01-22,0,0,0,0,0,729,NA,NA,NA,NA,NA,NA,0
2020-01-23,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-24,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-25,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-26,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-27,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-28,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-29,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-30,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-01-31,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-01,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-02,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-03,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-04,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-05,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-06,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-07,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-08,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-09,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-10,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-11,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-12,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-13,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-14,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-15,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-16,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-17,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-18,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-19,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-20,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-21,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-22,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-23,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-24,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-25,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-26,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-27,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-28,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-02-29,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-01,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-02,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-03,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-04,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-05,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-06,0,0,0,0,0,729,NA,NA,0,NA,NA,NA,0
2020-03-07,3,0,0,3,0,729,0,0,3,1,NA,NA,0.00411522633744856
2020-03-08,3,0,0,3,0,729,0,0,0,0,-1,-Inf,0.00411522633744856
2020-03-09,3,0,0,3,0,729,0,0,0,0,0,NA,0.00411522633744856
2020-03-10,5,0,0,5,0,729,0,0,2,0.4,0.4,1,0.00685871056241427
2020-03-11,6,0,0,6,0,729,0,0,1,0.166666666666667,-0.233333333333333,-1.4,0.00823045267489712
2020-03-12,6,0,0,6,0,729,0,0,0,0,-0.166666666666667,-Inf,0.00823045267489712
2020-03-13,12,0,1,11,0,729,0,0.0833333333333333,6,0.5,0.5,1,0.0164609053497942
2020-03-14,18,0,1,17,0,729,0,0.0555555555555556,6,0.333333333333333,-0.166666666666667,-0.5,0.0246913580246914
2020-03-15,21,0,1,20,0,729,0,0.0476190476190476,3,0.142857142857143,-0.19047619047619,-1.33333333333333,0.0288065843621399
2020-03-16,30,0,2,28,0,729,0,0.0666666666666667,9,0.3,0.157142857142857,0.523809523809524,0.0411522633744856
2020-03-17,38,0,2,36,0,729,0,0.0526315789473684,8,0.210526315789474,-0.0894736842105263,-0.425,0.0521262002743484
2020-03-18,48,0,2,36,0,729,0,0.0416666666666667,10,0.208333333333333,-0.00219298245614033,-0.0105263157894736,0.065843621399177
2020-03-19,53,0,2,51,0,729,0,0.0377358490566038,5,0.0943396226415094,-0.113993710691824,-1.20833333333333,0.0727023319615912
2020-03-20,64,0,2,62,1,729,0,0.03125,11,0.171875,0.0775353773584906,0.451114922813036,0.0877914951989026
2020-03-21,73,0,2,71,1,729,0,0.0273972602739726,9,0.123287671232877,-0.0485873287671233,-0.394097222222222,0.100137174211248
2020-03-22,90,0,2,88,1,729,0,0.0222222222222222,17,0.188888888888889,0.0656012176560122,0.347300564061241,0.123456790123457
2020-03-23,107,0,2,105,1,729,0,0.0186915887850467,17,0.158878504672897,-0.0300103842159917,-0.188888888888889,0.146776406035665
2020-03-24,110,0,2,108,1,729,0,0.0181818181818182,3,0.0272727272727273,-0.13160577740017,-4.82554517133956,0.150891632373114
2020-03-25,129,0,2,127,1,729,0,0.0155038759689922,19,0.147286821705426,0.120014094432699,0.814832535885167,0.176954732510288
2020-03-26,134,0,2,132,1,729,0,0.0149253731343284,5,0.0373134328358209,-0.109973388869605,-2.94728682170543,0.183813443072702
2020-03-27,139,0,2,137,2,729,0,0.0143884892086331,5,0.0359712230215827,-0.00134220981423816,-0.0373134328358209,0.190672153635117
2020-03-28,149,0,2,147,3,729,0,0.0134228187919463,10,0.0671140939597315,0.0311428709381488,0.464028776978417,0.204389574759945
2020-03-29,151,0,2,149,4,729,0,0.0132450331125828,2,0.0132450331125828,-0.0538690608471488,-4.06711409395973,0.207133058984911
2020-03-30,156,0,2,154,4,729,0,0.0128205128205128,5,0.032051282051282,0.0188062489386993,0.586754966887417,0.213991769547325
2020-03-31,169,0,2,167,2,729,0,0.0118343195266272,13,0.0769230769230769,0.0448717948717949,0.583333333333333,0.231824417009602
2020-04-01,188,0,2,186,2,729,0,0.0106382978723404,19,0.101063829787234,0.0241407528641571,0.238866396761133,0.257887517146776
2020-04-02,195,0,2,193,2,729,0,0.0102564102564103,7,0.0358974358974359,-0.0651663938897981,-1.81534954407295,0.267489711934156
2020-04-03,202,0,2,200,1,729,0,0.0099009900990099,7,0.0346534653465347,-0.00124397055090124,-0.0358974358974357,0.277091906721536
2020-04-04,213,0,2,211,3,729,0,0.00938967136150235,11,0.0516431924882629,0.0169897271417283,0.328982898289829,0.292181069958848
2020-04-05,227,0,5,222,3,729,0,0.0220264317180617,14,0.0616740088105727,0.0100308163223098,0.162642521797451,0.311385459533608
2020-04-06,241,0,5,236,3,729,0,0.020746887966805,14,0.0580912863070539,-0.00358272250351874,-0.0616740088105727,0.330589849108368
2020-04-07,293,0,5,288,4,729,0,0.0170648464163823,52,0.177474402730375,0.119383116423321,0.672677944462177,0.401920438957476
2020-04-08,299,1,16,282,4,729,0.00334448160535117,0.0535117056856187,6,0.020066889632107,-0.157407513098268,-7.84414106939704,0.410150891632373
2020-04-09,337,2,16,319,4,729,0.00593471810089021,0.0474777448071217,38,0.112759643916914,0.0926927542848069,0.822038373525788,0.462277091906722
