"Country" "Voter" "Points"
"Luxembourg" "at" "5"
"United Kingdom" "at" ""
"France" "at" ""
"Austria" "at" ""
"Italy" "at" ""
"Ireland" "at" ""
"Denmark" "at" ""
"Switzerland" "at" "3"
"Monaco" "at" ""
"Sweden" "at" ""
"Netherlands" "at" ""
"Yugoslavia" "at" ""
"Norway" "at" "1"
"Portugal" "at" ""
"Spain" "at" ""
"Germany" "at" ""
"Belgium" "at" ""
"Finland" "at" ""
"Luxembourg" "be" ""
"United Kingdom" "be" "6"
"France" "be" ""
"Austria" "be" ""
"Italy" "be" "3"
"Ireland" "be" ""
"Denmark" "be" ""
"Switzerland" "be" ""
"Monaco" "be" ""
"Sweden" "be" ""
"Netherlands" "be" ""
"Yugoslavia" "be" ""
"Norway" "be" ""
"Portugal" "be" ""
"Spain" "be" ""
"Germany" "be" ""
"Belgium" "be" ""
"Finland" "be" ""
"Luxembourg" "dk" "1"
"United Kingdom" "dk" "5"
"France" "dk" ""
"Austria" "dk" ""
"Italy" "dk" ""
"Ireland" "dk" ""
"Denmark" "dk" ""
"Switzerland" "dk" ""
"Monaco" "dk" ""
"Sweden" "dk" "3"
"Netherlands" "dk" ""
"Yugoslavia" "dk" ""
"Norway" "dk" ""
"Portugal" "dk" ""
"Spain" "dk" ""
"Germany" "dk" ""
"Belgium" "dk" ""
"Finland" "dk" ""
"Luxembourg" "fi" "5"
"United Kingdom" "fi" ""
"France" "fi" "1"
"Austria" "fi" ""
"Italy" "fi" ""
"Ireland" "fi" ""
"Denmark" "fi" ""
"Switzerland" "fi" ""
"Monaco" "fi" ""
"Sweden" "fi" "3"
"Netherlands" "fi" ""
"Yugoslavia" "fi" ""
"Norway" "fi" ""
"Portugal" "fi" ""
"Spain" "fi" ""
"Germany" "fi" ""
"Belgium" "fi" ""
"Finland" "fi" ""
"Luxembourg" "fr" ""
"United Kingdom" "fr" ""
"France" "fr" ""
"Austria" "fr" ""
"Italy" "fr" "3"
"Ireland" "fr" ""
"Denmark" "fr" ""
"Switzerland" "fr" "5"
"Monaco" "fr" ""
"Sweden" "fr" ""
"Netherlands" "fr" ""
"Yugoslavia" "fr" "1"
"Norway" "fr" ""
"Portugal" "fr" ""
"Spain" "fr" ""
"Germany" "fr" ""
"Belgium" "fr" ""
"Finland" "fr" ""
"Luxembourg" "de" "5"
"United Kingdom" "de" ""
"France" "de" "3"
"Austria" "de" ""
"Italy" "de" "1"
"Ireland" "de" ""
"Denmark" "de" ""
"Switzerland" "de" ""
"Monaco" "de" ""
"Sweden" "de" ""
"Netherlands" "de" ""
"Yugoslavia" "de" ""
"Norway" "de" ""
"Portugal" "de" ""
"Spain" "de" ""
"Germany" "de" ""
"Belgium" "de" ""
"Finland" "de" ""
"Luxembourg" "ie" "3"
"United Kingdom" "ie" ""
"France" "ie" "1"
"Austria" "ie" "5"
"Italy" "ie" ""
"Ireland" "ie" ""
"Denmark" "ie" ""
"Switzerland" "ie" ""
"Monaco" "ie" ""
"Sweden" "ie" ""
"Netherlands" "ie" ""
"Yugoslavia" "ie" ""
"Norway" "ie" ""
"Portugal" "ie" ""
"Spain" "ie" ""
"Germany" "ie" ""
"Belgium" "ie" ""
"Finland" "ie" ""
"Luxembourg" "it" ""
"United Kingdom" "it" "1"
"France" "it" ""
"Austria" "it" "3"
"Italy" "it" ""
"Ireland" "it" "5"
"Denmark" "it" ""
"Switzerland" "it" ""
"Monaco" "it" ""
"Sweden" "it" ""
"Netherlands" "it" ""
"Yugoslavia" "it" ""
"Norway" "it" ""
"Portugal" "it" ""
"Spain" "it" ""
"Germany" "it" ""
"Belgium" "it" ""
"Finland" "it" ""
"Luxembourg" "lu" ""
"United Kingdom" "lu" ""
"France" "lu" "3"
"Austria" "lu" ""
"Italy" "lu" "1"
"Ireland" "lu" ""
"Denmark" "lu" "5"
"Switzerland" "lu" ""
"Monaco" "lu" ""
"Sweden" "lu" ""
"Netherlands" "lu" ""
"Yugoslavia" "lu" ""
"Norway" "lu" ""
"Portugal" "lu" ""
"Spain" "lu" ""
"Germany" "lu" ""
"Belgium" "lu" ""
"Finland" "lu" ""
"Luxembourg" "mc" ""
"United Kingdom" "mc" ""
"France" "mc" "5"
"Austria" "mc" ""
"Italy" "mc" "3"
"Ireland" "mc" ""
"Denmark" "mc" ""
"Switzerland" "mc" ""
"Monaco" "mc" ""
"Sweden" "mc" ""
"Netherlands" "mc" ""
"Yugoslavia" "mc" ""
"Norway" "mc" ""
"Portugal" "mc" "1"
"Spain" "mc" ""
"Germany" "mc" ""
"Belgium" "mc" ""
"Finland" "mc" ""
"Luxembourg" "nl" "5"
"United Kingdom" "nl" ""
"France" "nl" "1"
"Austria" "nl" ""
"Italy" "nl" "3"
"Ireland" "nl" ""
"Denmark" "nl" ""
"Switzerland" "nl" ""
"Monaco" "nl" ""
"Sweden" "nl" ""
"Netherlands" "nl" ""
"Yugoslavia" "nl" ""
"Norway" "nl" ""
"Portugal" "nl" ""
"Spain" "nl" ""
"Germany" "nl" ""
"Belgium" "nl" ""
"Finland" "nl" ""
"Luxembourg" "no" "3"
"United Kingdom" "no" "1"
"France" "no" ""
"Austria" "no" ""
"Italy" "no" ""
"Ireland" "no" ""
"Denmark" "no" ""
"Switzerland" "no" ""
"Monaco" "no" ""
"Sweden" "no" ""
"Netherlands" "no" "5"
"Yugoslavia" "no" ""
"Norway" "no" ""
"Portugal" "no" ""
"Spain" "no" ""
"Germany" "no" ""
"Belgium" "no" ""
"Finland" "no" ""
"Luxembourg" "pt" ""
"United Kingdom" "pt" ""
"France" "pt" ""
"Austria" "pt" "5"
"Italy" "pt" ""
"Ireland" "pt" "3"
"Denmark" "pt" ""
"Switzerland" "pt" ""
"Monaco" "pt" ""
"Sweden" "pt" ""
"Netherlands" "pt" ""
"Yugoslavia" "pt" "1"
"Norway" "pt" ""
"Portugal" "pt" ""
"Spain" "pt" ""
"Germany" "pt" ""
"Belgium" "pt" ""
"Finland" "pt" ""
"Luxembourg" "es" "1"
"United Kingdom" "es" "5"
"France" "es" "3"
"Austria" "es" ""
