"Country" "Voter" "Points"
"Luxembourg" "at" "8"
"United Kingdom" "at" "7"
"Germany" "at" "5"
"Netherlands" "at" "6"
"Austria" "at" ""
"Italy" "at" "6"
"Portugal" "at" "4"
"Switzerland" "at" "8"
"Yugoslavia" "at" "3"
"Spain" "at" "5"
"France" "at" "2"
"Finland" "at" "3"
"Sweden" "at" "4"
"Norway" "at" "3"
"Ireland" "at" "4"
"Monaco" "at" "3"
"Belgium" "at" "2"
"Malta" "at" "2"
"Luxembourg" "be" "8"
"United Kingdom" "be" "4"
"Germany" "be" "7"
"Netherlands" "be" "2"
"Austria" "be" "4"
"Italy" "be" "6"
"Portugal" "be" "7"
"Switzerland" "be" "4"
"Yugoslavia" "be" "8"
"Spain" "be" "3"
"France" "be" "7"
"Finland" "be" "8"
"Sweden" "be" "7"
"Norway" "be" "4"
"Ireland" "be" "4"
"Monaco" "be" "4"
"Belgium" "be" ""
"Malta" "be" "2"
"Luxembourg" "fi" "6"
"United Kingdom" "fi" "7"
"Germany" "fi" "5"
"Netherlands" "fi" "9"
"Austria" "fi" "4"
"Italy" "fi" "6"
"Portugal" "fi" "2"
"Switzerland" "fi" "7"
"Yugoslavia" "fi" "3"
"Spain" "fi" "4"
"France" "fi" "4"
"Finland" "fi" ""
"Sweden" "fi" "5"
"Norway" "fi" "7"
"Ireland" "fi" "3"
"Monaco" "fi" "5"
"Belgium" "fi" "4"
"Malta" "fi" "5"
"Luxembourg" "fr" "8"
"United Kingdom" "fr" "9"
"Germany" "fr" "8"
"Netherlands" "fr" "6"
"Austria" "fr" "6"
"Italy" "fr" "5"
"Portugal" "fr" "4"
"Switzerland" "fr" "5"
"Yugoslavia" "fr" "4"
"Spain" "fr" "5"
"France" "fr" ""
"Finland" "fr" "3"
"Sweden" "fr" "3"
"Norway" "fr" "3"
"Ireland" "fr" "3"
"Monaco" "fr" "3"
"Belgium" "fr" "3"
"Malta" "fr" "2"
"Luxembourg" "de" "9"
"United Kingdom" "de" "8"
"Germany" "de" ""
"Netherlands" "de" "6"
"Austria" "de" "6"
"Italy" "de" "4"
"Portugal" "de" "3"
"Switzerland" "de" "4"
"Yugoslavia" "de" "7"
"Spain" "de" "7"
"France" "de" "5"
"Finland" "de" "4"
"Sweden" "de" "5"
"Norway" "de" "4"
"Ireland" "de" "4"
"Monaco" "de" "4"
"Belgium" "de" "2"
"Malta" "de" "3"
"Luxembourg" "ie" "9"
"United Kingdom" "ie" "6"
"Germany" "ie" "6"
"Netherlands" "ie" "8"
"Austria" "ie" "6"
"Italy" "ie" "3"
"Portugal" "ie" "7"
"Switzerland" "ie" "6"
"Yugoslavia" "ie" "5"
"Spain" "ie" "5"
"France" "ie" "5"
"Finland" "ie" "3"
"Sweden" "ie" "5"
"Norway" "ie" "6"
"Ireland" "ie" ""
"Monaco" "ie" "4"
"Belgium" "ie" "4"
"Malta" "ie" "4"
"Luxembourg" "it" "9"
"United Kingdom" "it" "7"
"Germany" "it" "7"
"Netherlands" "it" "3"
"Austria" "it" "6"
"Italy" "it" ""
"Portugal" "it" "9"
"Switzerland" "it" "5"
"Yugoslavia" "it" "2"
"Spain" "it" "3"
"France" "it" "3"
"Finland" "it" "3"
