"Country" "Voter" "Points"
"Finland" "al" ""
"Bosnia & Herzegovina" "al" "10"
"Russia" "al" ""
"Sweden" "al" "5"
"Lithuania" "al" ""
"Armenia" "al" "3"
"Ukraine" "al" ""
"Turkey" "al" "6"
"Ireland" "al" "1"
"North Macedonia" "al" "12"
"Poland" "al" ""
"Belgium" "al" ""
"Iceland" "al" ""
"Albania" "al" ""
"Cyprus" "al" "4"
"Slovenia" "al" "7"
"Bulgaria" "al" "8"
"Estonia" "al" ""
"Portugal" "al" ""
"Netherlands" "al" "2"
"Monaco" "al" ""
"Belarus" "al" ""
"Andorra" "al" ""
"Finland" "ad" "10"
"Bosnia & Herzegovina" "ad" "1"
"Russia" "ad" "4"
"Sweden" "ad" "8"
"Lithuania" "ad" "5"
"Armenia" "ad" ""
"Ukraine" "ad" "6"
"Turkey" "ad" ""
"Ireland" "ad" ""
"North Macedonia" "ad" ""
"Poland" "ad" ""
"Belgium" "ad" "7"
"Iceland" "ad" ""
"Albania" "ad" ""
"Cyprus" "ad" ""
"Slovenia" "ad" ""
"Bulgaria" "ad" ""
"Estonia" "ad" ""
"Portugal" "ad" "12"
"Netherlands" "ad" "2"
"Monaco" "ad" "3"
"Belarus" "ad" ""
"Andorra" "ad" ""
"Finland" "am" ""
"Bosnia & Herzegovina" "am" "5"
"Russia" "am" "12"
"Sweden" "am" "6"
"Lithuania" "am" ""
"Armenia" "am" ""
"Ukraine" "am" "10"
"Turkey" "am" ""
"Ireland" "am" ""
"North Macedonia" "am" "8"
"Poland" "am" "3"
"Belgium" "am" ""
"Iceland" "am" ""
"Albania" "am" "1"
"Cyprus" "am" "7"
"Slovenia" "am" "2"
"Bulgaria" "am" ""
"Estonia" "am" ""
"Portugal" "am" ""
"Netherlands" "am" "4"
"Monaco" "am" ""
"Belarus" "am" ""
"Andorra" "am" ""
"Finland" "by" "8"
"Bosnia & Herzegovina" "by" "3"
"Russia" "by" "12"
"Sweden" "by" "5"
"Lithuania" "by" "6"
"Armenia" "by" "7"
"Ukraine" "by" "10"
"Turkey" "by" ""
"Ireland" "by" ""
"North Macedonia" "by" ""
"Poland" "by" "4"
"Belgium" "by" ""
"Iceland" "by" ""
"Albania" "by" ""
"Cyprus" "by" "1"
"Slovenia" "by" "2"
"Bulgaria" "by" ""
"Estonia" "by" ""
"Portugal" "by" ""
"Netherlands" "by" ""
"Monaco" "by" ""
"Belarus" "by" ""
"Andorra" "by" ""
"Finland" "be" "10"
"Bosnia & Herzegovina" "be" "6"
"Russia" "be" "2"
"Sweden" "be" "5"
"Lithuania" "be" "7"
"Armenia" "be" "12"
"Ukraine" "be" ""
"Turkey" "be" "8"
"Ireland" "be" "3"
"North Macedonia" "be" ""
"Poland" "be" "1"
"Belgium" "be" ""
"Iceland" "be" ""
"Albania" "be" ""
"Cyprus" "be" ""
"Slovenia" "be" ""
"Bulgaria" "be" ""
"Estonia" "be" ""
"Portugal" "be" ""
"Netherlands" "be" "4"
"Monaco" "be" ""
"Belarus" "be" ""
"Andorra" "be" ""
"Finland" "ba" "8"
"Bosnia & Herzegovina" "ba" ""
"Russia" "ba" "4"
"Sweden" "ba" "6"
"Lithuania" "ba" "2"
"Armenia" "ba" ""
"Ukraine" "ba" "3"
"Turkey" "ba" "12"
"Ireland" "ba" ""
"North Macedonia" "ba" "10"
"Poland" "ba" ""
"Belgium" "ba" ""
"Iceland" "ba" "1"
"Albania" "ba" "5"
"Cyprus" "ba" ""
"Slovenia" "ba" "7"
"Bulgaria" "ba" ""
"Estonia" "ba" ""
"Portugal" "ba" ""
"Netherlands" "ba" ""
"Monaco" "ba" ""
"Belarus" "ba" ""
"Andorra" "ba" ""
"Finland" "bg" "7"
"Bosnia & Herzegovina" "bg" "10"
"Russia" "bg" "12"
"Sweden" "bg" "4"
"Lithuania" "bg" "6"
"Armenia" "bg" "8"
"Ukraine" "bg" "3"
"Turkey" "bg" "1"
"Ireland" "bg" ""
"North Macedonia" "bg" "5"
"Poland" "bg" ""
"Belgium" "bg" ""
"Iceland" "bg" ""
"Albania" "bg" ""
"Cyprus" "bg" "2"
"Slovenia" "bg" ""
"Bulgaria" "bg" ""
"Estonia" "bg" ""
"Portugal" "bg" ""
"Netherlands" "bg" ""
"Monaco" "bg" ""
"Belarus" "bg" ""
"Andorra" "bg" ""
"Finland" "hr" "10"
"Bosnia & Herzegovina" "hr" "12"
"Russia" "hr" "3"
"Sweden" "hr" "4"
"Lithuania" "hr" "5"
"Armenia" "hr" ""
"Ukraine" "hr" "2"
"Turkey" "hr" ""
"Ireland" "hr" ""
"North Macedonia" "hr" "8"
"Poland" "hr" ""
"Belgium" "hr" ""
"Iceland" "hr" "1"
"Albania" "hr" "7"
"Cyprus" "hr" ""
"Slovenia" "hr" "6"
"Bulgaria" "hr" ""
"Estonia" "hr" ""
"Portugal" "hr" ""
"Netherlands" "hr" ""
"Monaco" "hr" ""
"Belarus" "hr" ""
"Andorra" "hr" ""
"Finland" "cy" "7"
"Bosnia & Herzegovina" "cy" "5"
"Russia" "cy" "10"
"Sweden" "cy" "2"
"Lithuania" "cy" "4"
"Armenia" "cy" "12"
"Ukraine" "cy" "6"
"Turkey" "cy" ""
"Ireland" "cy" ""
"North Macedonia" "cy" ""
"Poland" "cy" ""
"Belgium" "cy" "1"
"Iceland" "cy" ""
"Albania" "cy" ""
"Cyprus" "cy" ""
"Slovenia" "cy" ""
"Bulgaria" "cy" "8"
"Estonia" "cy" ""
"Portugal" "cy" ""
"Netherlands" "cy" "3"
"Monaco" "cy" ""
"Belarus" "cy" ""
"Andorra" "cy" ""
"Finland" "dk" "10"
"Bosnia & Herzegovina" "dk" "8"
"Russia" "dk" "1"
"Sweden" "dk" "12"
"Lithuania" "dk" "4"
"Armenia" "dk" ""
"Ukraine" "dk" ""
"Turkey" "dk" "6"
"Ireland" "dk" "5"
"North Macedonia" "dk" ""
"Poland" "dk" ""
"Belgium" "dk" "3"
"Iceland" "dk" "7"
"Albania" "dk" ""
"Cyprus" "dk" ""
"Slovenia" "dk" ""
"Bulgaria" "dk" ""
"Estonia" "dk" "2"
"Portugal" "dk" ""
"Netherlands" "dk" ""
"Monaco" "dk" ""
"Belarus" "dk" ""
"Andorra" "dk" ""
"Finland" "ee" "12"
"Bosnia & Herzegovina" "ee" "1"
"Russia" "ee" "10"
"Sweden" "ee" "7"
"Lithuania" "ee" "8"
"Armenia" "ee" ""
"Ukraine" "ee" "4"
"Turkey" "ee" ""
"Ireland" "ee" "6"
