"Country" "Voter" "Points"
"Russia" "am" "19"
"Armenia" "am" ""
"Malta" "am" "22"
"Hungary" "am" "6"
"Netherlands" "am" "8"
"Azerbaijan" "am" ""
"Austria" "am" "5"
"Cyprus" "am" "8"
"Czech Republic" "am" "7"
"Croatia" "am" "5"
"Bosnia & Herzegovina" "am" "2"
"San Marino" "am" ""
"Montenegro" "am" "10"
"Iceland" "am" ""
"Finland" "am" "8"
"Greece" "am" "10"
"Moldova" "am" "6"
"Estonia" "am" ""
"Russia" "at" "15"
"Armenia" "at" "9"
"Malta" "at" "12"
"Hungary" "at" "8"
"Netherlands" "at" "16"
"Azerbaijan" "at" "4"
"Austria" "at" ""
"Cyprus" "at" "2"
"Czech Republic" "at" "11"
"Croatia" "at" "13"
"Bosnia & Herzegovina" "at" "12"
"San Marino" "at" "5"
"Montenegro" "at" ""
"Iceland" "at" "6"
"Finland" "at" "2"
"Greece" "at" ""
"Moldova" "at" ""
"Estonia" "at" "1"
"Russia" "az" "24"
"Armenia" "az" ""
"Malta" "az" "12"
"Hungary" "az" "15"
"Netherlands" "az" "4"
"Azerbaijan" "az" ""
"Austria" "az" "6"
"Cyprus" "az" "1"
"Czech Republic" "az" "5"
"Croatia" "az" ""
"Bosnia & Herzegovina" "az" "15"
"San Marino" "az" "13"
"Montenegro" "az" "7"
"Iceland" "az" ""
"Finland" "az" ""
"Greece" "az" "6"
"Moldova" "az" "5"
"Estonia" "az" "3"
"Russia" "ba" "15"
"Armenia" "ba" "10"
"Malta" "ba" "7"
"Hungary" "ba" "5"
"Netherlands" "ba" "1"
"Azerbaijan" "ba" "16"
"Austria" "ba" "6"
"Cyprus" "ba" "2"
"Czech Republic" "ba" "16"
"Croatia" "ba" "17"
"Bosnia & Herzegovina" "ba" ""
"San Marino" "ba" "10"
"Montenegro" "ba" "11"
"Iceland" "ba" ""
"Finland" "ba" ""
"Greece" "ba" ""
"Moldova" "ba" ""
"Estonia" "ba" ""
"Russia" "hr" "16"
"Armenia" "hr" "8"
"Malta" "hr" "8"
"Hungary" "hr" "16"
"Netherlands" "hr" "7"
"Azerbaijan" "hr" "3"
"Austria" "hr" "7"
"Cyprus" "hr" "12"
"Czech Republic" "hr" "16"
"Croatia" "hr" ""
"Bosnia & Herzegovina" "hr" "16"
"San Marino" "hr" ""
"Montenegro" "hr" "6"
"Iceland" "hr" "1"
"Finland" "hr" ""
"Greece" "hr" ""
"Moldova" "hr" ""
"Estonia" "hr" ""
"Russia" "cy" "22"
"Armenia" "cy" "17"
"Malta" "cy" "13"
"Hungary" "cy" "12"
"Netherlands" "cy" "4"
"Azerbaijan" "cy" "12"
"Austria" "cy" "5"
"Cyprus" "cy" ""
"Czech Republic" "cy" "5"
"Croatia" "cy" "8"
"Bosnia & Herzegovina" "cy" ""
"San Marino" "cy" ""
"Montenegro" "cy" ""
"Iceland" "cy" "1"
"Finland" "cy" ""
"Greece" "cy" "15"
"Moldova" "cy" "2"
"Estonia" "cy" ""
"Russia" "cz" "8"
"Armenia" "cz" "12"
"Malta" "cz" "9"
"Hungary" "cz" "18"
"Netherlands" "cz" "13"
"Azerbaijan" "cz" "13"
"Austria" "cz" "10"
"Cyprus" "cz" "5"
"Czech Republic" "cz" ""
"Croatia" "cz" "8"
"Bosnia & Herzegovina" "cz" "9"
"San Marino" "cz" ""
"Montenegro" "cz" ""
"Iceland" "cz" "4"
"Finland" "cz" "7"
"Greece" "cz" ""
"Moldova" "cz" ""
"Estonia" "cz" ""
"Russia" "ee" "13"
"Armenia" "ee" "3"
"Malta" "ee" "10"
"Hungary" "ee" "10"
"Netherlands" "ee" "20"
