"Country","id"
"Armenia",1
"Belarus",2
"Bulgaria",3
"Czech Republic",4
"Hungary",5
"Moldova",6
"North Macedonia",7
"Poland",8
"Romania",9
"Russia",10
"Slovakia",11
"Ukraine",12
"Morocco",13
"Denmark",14
"Estonia",15
"Finland",16
"Iceland",17
"Ireland",18
"Latvia",19
"Lithuania",20
"Norway",21
"Sweden",22
"UK",23
"Australia",24
"Albania",25
"Bosnia and Herzegovina",26
"Croatia",27
"Cyprus",28
"Greece",29
"Italy",30
"Malta",31
"Montenegro",32
"Portugal",33
"San Marino",34
"Serbia",35
"Serbia and Montenegro",36
"Slovenia",37
"Spain",38
"Yugoslavia",39
"Andorra",40
"Azerbaijan",41
"Georgia",42
"Israel",43
"Turkey",44
"Austria",45
"Belgium",46
"France",47
"Germany",48
"Luxembourg",49
"Monaco",50
"Netherlands",51
"Switzerland",52
